variant,date_num,prob,SE,df,asymp.LCL,asymp.UCL,date,totcases,cases,smoothed_totcases,smoothed_cases
Delta,18327,5.447736316774754e-54,3.977375489038689e-53,NA,-7.250739079830738e-53,8.3402863431856885e-53,2020-03-06,0,NA,NA,NA
Beta,18327,1.6499639882772464e-7,5.960183489997379e-8,NA,4.817894901127358e-8,2.818138486441757e-7,2020-03-06,0,NA,NA,NA
Alpha,18327,9.2691306913039e-26,5.985362148148402e-25,NA,-1.0804181175669766e-24,1.2658007313930546e-24,2020-03-06,0,NA,NA,NA
C.1.2,18327,8.174723748849178e-68,1.7372017538360557e-66,NA,-3.3231056339099937e-66,3.486600108886977e-66,2020-03-06,0,NA,NA,NA
Other,18327,0.9999998350036011,5.960183485102529e-8,NA,0.9999997181861514,0.9999999518210508,2020-03-06,0,NA,NA,NA
Omicron,18327,1.1922207795252786e-44,9.121703877971113e-44,NA,-1.6685990298937442e-43,1.9070431857987997e-43,2020-03-06,0,NA,NA,NA
Delta,18328,8.226494433825162e-54,5.985525879747941e-53,NA,-1.0908765709455868e-52,1.25540645962209e-52,2020-03-07,1,NA,NA,NA
Beta,18328,1.7837649458974267e-7,6.412999801569888e-8,NA,5.2684008150347766e-8,3.0406898102913757e-7,2020-03-07,1,NA,NA,NA
Alpha,18328,1.1482834601455737e-25,7.387348821886678e-25,NA,-1.3330654171986711e-24,1.5627221092277857e-24,2020-03-07,1,NA,NA,NA
C.1.2,18328,1.3517408286196519e-67,2.8629662062514603e-66,NA,-5.476136570346168e-66,5.746484736070099e-66,2020-03-07,1,NA,NA,NA
Other,18328,0.9999998216235053,6.412999798136944e-8,NA,0.9999996959310189,0.9999999473159917,2020-03-07,1,0.9999998216235053,NA,NA
Omicron,18328,1.3376808117417162e-44,1.0208339352957622e-43,NA,-1.8670296662018137e-43,2.1345658285501572e-43,2020-03-07,1,NA,NA,NA
Delta,18329,1.24225772406652e-53,9.007433632742159e-53,NA,-1.6411987789242892e-52,1.889650323737593e-52,2020-03-08,1,NA,NA,NA
Beta,18329,1.9284139059434471e-7,6.900056810352089e-8,NA,5.760276219864058e-8,3.2808001899004887e-7,2020-03-08,1,NA,NA,NA
Alpha,18329,1.4225188813611673e-25,9.117581192903797e-25,NA,-1.6447611882850011e-24,1.9292649645572346e-24,2020-03-08,1,NA,NA,NA
C.1.2,18329,2.2351750896834444e-67,4.718186310939852e-66,NA,-9.023957732823664e-66,9.470992750760353e-66,2020-03-08,1,NA,NA,NA
Other,18329,0.9999998071586095,6.900056815450926e-8,NA,0.999999671919981,0.999999942397238,2020-03-08,1,0.9999998071586095,NA,NA
Omicron,18329,1.5008897677593044e-44,1.142444582940091e-43,NA,-2.08906126011953e-43,2.389239213671391e-43,2020-03-08,1,NA,NA,NA
Delta,18330,1.875879509759133e-53,1.3554734534934216e-52,NA,-2.4690911998713205e-52,2.844267101823147e-52,2020-03-09,4,NA,NA,NA
Beta,18330,2.0847876445367033e-7,7.423921403112537e-8,NA,6.297257871210401e-8,3.5398495019523665e-7,2020-03-09,4,NA,NA,NA
Alpha,18330,1.7622382496251696e-25,1.1252844947338839e-24,NA,-2.029293257077247e-24,2.3817409070022808e-24,2020-03-09,4,NA,NA,NA
C.1.2,18330,3.695942515415318e-67,7.775433414818738e-66,NA,-1.4869975205692476e-65,1.560916370877554e-65,2020-03-09,4,NA,NA,NA
Other,18330,0.9999997915212355,7.423921398176483e-8,NA,0.9999996460150499,0.9999999370274212,2020-03-09,4,3.999999166084942,NA,NA
